epoch,train_loss,train_task_loss,train_kd_loss,train_kl_loss,train_path_loss,train_topo_loss,train_topk_loss,val_metric,val_loss,lr,train_subgraph_loss
1,0.6132757454648499,0.1869061011460054,0.42636964406616,0.179942902668502,0.0,0.0,0.31695403759331664,0.6166072653341172,0.17246003550561992,0.001,0.06321073846184005
2,0.5249772569698881,0.1534286008844542,0.3715486559987992,0.14559381972103155,0.0,0.0,0.29252511413060417,0.6488493288261807,0.21007539828618368,0.001,0.05412018699066121
3,0.513808435767658,0.15147787612653518,0.3623305590346802,0.1442286833658699,0.0,0.0,0.27124525699042534,0.6563862556339408,0.12820160953384457,0.001,0.050700611499852916
4,0.5050933011049448,0.15018758953137454,0.35490571228108664,0.14348055058440498,0.0,0.0,0.23486994726713314,0.6806076082696453,0.13760145848165406,0.001,0.04841544318857581
5,0.4986957152222478,0.1492276612467082,0.3494680551595466,0.14323015727622565,0.0,0.0,0.19252036979725196,0.6924419459141682,0.09733677917922084,0.001,0.04788974555599135
6,0.4929177536405334,0.1487801618469778,0.34413759121599125,0.14197350943157838,0.0,0.0,0.17027633677619372,0.6705216294336664,0.10890865760544936,0.001,0.048488428758442864
7,0.49158848902975866,0.1493483650274286,0.34224012367023054,0.1417159111809361,0.0,0.0,0.16412295308686042,0.683862433862434,0.11049675597160151,0.001,0.04893915932769923
8,0.4907841819894406,0.14951544864348662,0.34126873429893523,0.14187819019768588,0.0,0.0,0.15936083785554236,0.6372905643738977,0.09301157462918623,0.001,0.04936185466168925
9,0.4902798575024272,0.1482772878551668,0.3420025699360426,0.1415468536375105,0.0,0.0,0.158730831834697,0.7140621938075642,0.09429279364871257,0.001,0.049672235568711
10,0.48714653246624523,0.14798361668002236,0.33916291525197584,0.1410600887828095,0.0,0.0,0.15721605094366295,0.709868888398981,0.09964775133200666,0.001,0.04973852504477944
11,0.4873220563627953,0.148501720055649,0.33882033738285994,0.14082015126712563,0.0,0.0,0.15503194177335547,0.646882042426024,0.10134061143705339,0.001,0.04994131924310165
12,0.48500966090102526,0.14714139322353195,0.33786826702051387,0.1405530160711717,0.0,0.0,0.15448938835729925,0.6959539731530473,0.10193762132389979,0.001,0.05012285214119641
13,0.48829342586587565,0.15024824912638166,0.3380451763785163,0.14085164412047513,0.0,0.0,0.15394887582276218,0.6607969576719577,0.10322678331850153,0.001,0.05027238416752612
14,0.4868761462758678,0.1485552233463341,0.3383209230017292,0.14097629184293192,0.0,0.0,0.1534285235197045,0.6551201499118166,0.10081090625714172,0.001,0.05015750093631042
15,0.48360765523226684,0.14722746666954006,0.33638018762418465,0.1403533937914889,0.0,0.0,0.15316716125307156,0.6828244415049971,0.10757836163269752,0.001,0.05024712887960811
16,0.4841232747994652,0.14772055855439614,0.33640271517657494,0.14033696939085805,0.0,0.0,0.15284507178751996,0.682074270037233,0.09535375683370864,0.001,0.050341839909322506
17,0.4868022749821345,0.14992589632034764,0.33687638046667556,0.140314800332683,0.0,0.0,0.15161315831103067,0.6992455418381345,0.09958763745133624,0.001,0.05051568086988242
18,0.4875341526759687,0.14873391111171985,0.33880024201186126,0.14100065434625905,0.0,0.0,0.1510089085430138,0.6814297349598275,0.10397919019063313,0.001,0.05076141658332921
19,0.4834983594888865,0.14796085482419924,0.3355375063973804,0.14059100799666818,0.0,0.0,0.15175740472799124,0.6837644522829708,0.11413154418044018,0.001,0.050617207390393396
20,0.4820616500553235,0.14755627497048804,0.334505374232928,0.14008796994769296,0.0,0.0,0.15134379209936127,0.7038445522241819,0.1014790331775492,0.001,0.05057662466988545
21,0.48326089885807777,0.14628295912299044,0.33697793961957445,0.14168206766940827,0.0,0.0,0.15186230549516605,0.6595155423280423,0.0972346378433885,0.001,0.05057848350310973
22,0.48234996523043905,0.14767151373590148,0.33467845306840055,0.14003952979579454,0.0,0.0,0.15176317456734273,0.6658123897707231,0.1323674747889692,0.001,0.05046277686722519
23,0.482280229528745,0.1477998834276615,0.3344803454802018,0.1401315529274848,0.0,0.0,0.15101570855508478,0.6417150450715267,0.11212161855038369,0.001,0.050594028215422186
24,0.479741806438727,0.14711314160376787,0.33262866573740346,0.13984314794110697,0.0,0.0,0.15144635055416314,0.6807668283362727,0.10174562940091798,0.001,0.05060331321270891
25,0.48016453765390454,0.1467199755413819,0.33344456068305084,0.13985290583367496,0.0,0.0,0.15053563853797985,0.6014063418577307,0.0978154255020799,0.001,0.050605083952925005
26,0.48065086725608325,0.14743744993452415,0.3332134168161902,0.13957721875735032,0.0,0.0,0.1506052982033223,0.66829561042524,0.11024160067917722,0.001,0.05065847339844981
27,0.4808184509129487,0.148206692954251,0.33261175742445065,0.13936198502779007,0.0,0.0,0.15059424416963443,0.6909446649029982,0.09071848586653218,0.001,0.05046317427484102
28,0.48252709914547526,0.14771038254852906,0.3348167163226031,0.14040598307931146,0.0,0.0,0.1507486558353254,0.708204732510288,0.0911300087516958,0.001,0.05078711243736189
29,0.4789191089397253,0.1462710473195527,0.3326480623132499,0.13974745603379354,0.0,0.0,0.15095664225807487,0.7150420096021948,0.10592193195991444,0.001,0.050734461927714275
30,0.4782502699730008,0.14617660883525313,0.332073662170144,0.1393796095494614,0.0,0.0,0.1511161669280178,0.6406739907897315,0.10844324777523677,0.001,0.05055112546208755
31,0.4785074496916098,0.14649693173349135,0.33201051901939305,0.13945355921868205,0.0,0.0,0.15106511035168818,0.6401993925142072,0.09799377439600049,0.001,0.05061716137295084
32,0.47786502563214117,0.14617644625809767,0.3316885792007742,0.13919718586659247,0.0,0.0,0.15076276556003926,0.705485743680188,0.1130457604021737,0.001,0.05057165296676085
33,0.4810140576473502,0.1500291797339685,0.3309848772925,0.13893137078068052,0.0,0.0,0.15127900982087897,0.6303798010973937,0.10088263643961964,0.001,0.05071702599525452
34,0.47949620526890424,0.14728742736832115,0.33220877862253856,0.1398984188315018,0.0,0.0,0.14983128242252408,0.6406494953948658,0.10260380161079494,0.001,0.05075459650089575
35,0.47875788045483963,0.14656870411492365,0.3321891760872316,0.14001696216043577,0.0,0.0,0.15064893102692078,0.686612041936116,0.10340004290143649,0.001,0.05075241901095985
36,0.47729872005392415,0.1456912062022575,0.3316075138805449,0.13902014675875043,0.0,0.0,0.1503222721607186,0.7047815010777974,0.1136882421419476,0.001,0.05052130903268969
37,0.4789089129645695,0.14727515934482793,0.3316337533237398,0.13929328024964924,0.0,0.0,0.1508587537578834,0.6500097981579464,0.10393633140307484,0.001,0.05053887435401133
38,0.47665638967539914,0.1459387501109709,0.33071763975213664,0.13901470858574838,0.0,0.0,0.15040939379223559,0.6310074955908288,0.12122032362403291,0.001,0.050481013108997844
39,0.47626896826333776,0.14580165473527687,0.33046731283498365,0.13873455393337464,0.0,0.0,0.1508286466547685,0.714143334803057,0.0914619110355323,0.001,0.05051194388390511
40,0.47551876751258393,0.14535665263732275,0.3301621136046195,0.13856044498293899,0.0,0.0,0.15044504779484846,0.6978324637468155,0.10605314198994276,0.001,0.05043204539534889
41,0.4797130259432534,0.14831887523448745,0.33139415027559266,0.13974517999693406,0.0,0.0,0.1510335173197957,0.688709460121497,0.09085348505301005,0.001,0.05053119514455167
42,0.4782776919792789,0.14664177145346885,0.3316359218469886,0.13944321977653246,0.0,0.0,0.1517027965927309,0.6127905766215951,0.09763784678370664,0.001,0.050448207978823385
43,0.4749438246322233,0.1454609097450856,0.32948291290176007,0.13842465552364208,0.0,0.0,0.15023685728972272,0.6782698290221438,0.10143071413040161,0.001,0.05045003946437392
44,0.4740444539013759,0.1451550606464924,0.32888939399127815,0.13813766978623332,0.0,0.0,0.15062367760164794,0.7266865079365079,0.08716808620727423,0.001,0.050452342733394266
45,0.47349737336238223,0.14483047439897245,0.32866689770720725,0.13783571077871692,0.0,0.0,0.15080192982572918,0.704068072702332,0.09201155490044391,0.001,0.05027963704783325
46,0.47657683849796767,0.14710639990404134,0.3294704383195833,0.1380980907138004,0.0,0.0,0.15035950274083965,0.5388068293160886,0.09870146347604918,0.001,0.05046083742045155
47,0.47897981407568435,0.14787063252382962,0.3311091816240503,0.13883422266027723,0.0,0.0,0.15103887645311134,0.738925019596316,0.09750148010524837,0.001,0.05051801015817842
48,0.4774615348771561,0.1467450926325811,0.33071644171032794,0.1391955248780491,0.0,0.0,0.15133365809686425,0.7081189986282578,0.0907361726982124,0.001,0.05049754887126213
49,0.4725440688026968,0.14421670431949835,0.3283273639489514,0.13769264094704806,0.0,0.0,0.15142951310836067,0.6958100627082109,0.09472897973363147,0.001,0.05048045953519122
