epoch,train_loss,train_task_loss,train_kd_loss,train_kl_loss,train_path_loss,train_topo_loss,train_topk_loss,val_metric,val_loss,lr,train_subgraph_loss
1,1.683332201681639,0.6199464735231901,1.063385728158449,0.6208774118047011,0.0,0.0,2.061851846544366,0.5840659340659341,1.1819211661815643,0.001,0.2265106910153439
2,1.6107729140080904,0.5937831786118055,1.0169897455918162,0.6005492445669676,0.0,0.0,1.8853311350471096,0.6047619047619048,2.4272119402885437,0.001,0.2222846499399135
3,1.5741053851027238,0.5833631134346912,0.9907422677466744,0.5862519019528439,0.0,0.0,1.84661865234375,0.5948717948717949,2.0618297874927523,0.001,0.23277007278643155
4,1.55770721874739,0.5801917455698314,0.9775154700404719,0.588225698784778,0.0,0.0,1.7798543823392767,0.5985347985347986,1.2945273458957671,0.001,0.22252178427420163
5,1.551865251440751,0.5890282047422308,0.9628370466985201,0.582157604788479,0.0,0.0,1.7354706557173478,0.6018315018315018,3.1063328981399536,0.001,0.2274161659573254
6,1.5207936293200444,0.5659693236413755,0.9548243080314837,0.575404375007278,0.0,0.0,1.6772398352622986,0.6117216117216118,1.6509547650814056,0.001,0.21623386246593376
7,1.5118722068636041,0.5694242613880258,0.94244794625985,0.5761892513224953,0.0,0.0,1.6203719565742893,0.6117216117216118,0.9744532585144043,0.001,0.2086896864991439
8,1.5256454003484625,0.5697851039861378,0.9558602963623247,0.5852005418978239,0.0,0.0,1.6286723739222477,0.5926739926739928,0.5048286527395248,0.001,0.21507112681865692
9,1.5172486524832876,0.5758821281947588,0.9413665203671706,0.580899886394802,0.0,0.0,1.5781888522599872,0.5827838827838827,0.8842594265937805,0.001,0.20682099304701151
10,1.502795774685709,0.5741428787771025,0.9286528998299649,0.5726477001842699,0.0,0.0,1.5520242295767133,0.5783882783882784,2.1015344202518462,0.001,0.20464849236764407
11,1.487803622295982,0.563158918368189,0.9246446945165333,0.5704714475493682,0.0,0.0,1.5303072082368951,0.6065934065934067,0.7354092717170715,0.001,0.2006084597424457
12,1.4992373773926182,0.5746314211895591,0.9246059624772323,0.5735759209645422,0.0,0.0,1.495097815990448,0.6054945054945056,1.88829048871994,0.001,0.20197748667315432
13,1.4888081268260354,0.5685083442612698,0.9202997872703954,0.5760072822633543,0.0,0.0,1.4667242765426636,0.5926739926739927,1.3224382758140565,0.001,0.1935858938254808
14,1.4669860413199978,0.556206436533677,0.9107796079234073,0.5673932731151581,0.0,0.0,1.4241979718208313,0.6135531135531136,1.4838643550872803,0.001,0.19568870177394465
